㓥,tong1
方面,fong1 min6
於,jyu1
於是,jyu1 si6
於是乎,jyu1 si6 fu4
旁边,pong4 bin1
旁邊,pong4 bin1
旅,leoi5
旅客,leoi5 haak3
旅游,leoi5 jau4
旅游客,leoi5 jau4 haak3
旅游巴,leoi5 jau4 baa1
旅游点,leoi5 jau4 dim2
旅行,leoi5 hang4
旅行团,leoi5 hang4 tyun4
旅行團,leoi5 hang4 tyun4
旅行社,leoi5 hang4 se5
旅遊,leoi5 jau4
旅遊客,leoi5 jau4 haak3
旅遊巴,leoi5 jau4 baa1
旅遊點,leoi5 jau4 dim2
旅館,leoi5 gun2
旅馆,leoi5 gun2
旗,kei4
无,mou4
无中生有,mou4 zung1 sang1 jau5
无力感,mou4 lik6 gam2
无助,mou4 zo6
无厘头,mou4 lei4 tau4
无名小卒,mou4 ming4 siu2 zeot1
无名无份,mou4 ming4 mou4 fan6
无喇喇,mou4 laa1 laa1
无嘢,mou5 je5
无奈,mou4 noi6
无字头,mou4 zi6 tau4
无字头七八九,mou4 zi6 tau4 cat1 baat3 gau2
无字头八九十,mou4 zi6 tau4 baat3 gau2 sap6
无得顶,mou5 dak1 ding2
无情,mou4 cing4
无敌,mou4 dik6
无数,mou4 sou3
无端端,mou4 dyun1 dyun1
无线,mou4 sin3
无聊,mou4 liu4
无论,mou4 leon6
无谓,mou4 wai6
无限,mou4 haan6
既然,gei3 jin4
日,jat6
日华,jat6 waa4
日后,jat6 hau6
日头,jat6 tau2
日子,jat6 zi2
日常,jat6 soeng4
日後,jat6 hau6
日文,jat6 man2
日日,jat6 jat6
日本,jat6 bun2
日本人,jat6 bun2 jan4
日本紙,jat6 bun2 zi2
日本纸,jat6 bun2 zi2
日華,jat6 waa4
日頭,jat6 tau2
旧,gau6
旧年,gau6 nin2
旧时,gau6 si4
旧阵时,gau6 zan6 si4
早,zou2
早前,zou2 cin4
早嗰排,zou2 go2 paai4
早嗰輪,zou2 go2 leon4
早排,zou2 paai4
早晨,zou2 san4
早期,zou2 kei4
早熟,zou2 suk6
早知,zou2 zi1
早知結果,zou2 zi1 git3 gwo2
早知结果,zou2 zi1 git3 gwo2
早輪,zou2 leon4
早轮,zou2 leon4
早餐,zou2 caan1
早𠮶排,zou2 go2 paai4
早𠮶轮,zou2 go2 leon4
时代,si4 doi6
时侯,si4 hau6
时候,si4 hau6
时刻,si4 haak1
时势,si4 sai3
时差,si4 caa1
时期,si4 kei4
时段,si4 dyun6
时空,si4 hung1
时装,si4 zong1
时间,si4 gaan3
时限,si4 haan6
旺,wong6
旺季,wong6 gwai3
旺角,wong6 gok3
昂貴,ngong4 gwai3
昂贵,ngong4 gwai3
昆,kwan1
昇,sing1
昇華,sing1 waa4
明,ming4
明天,ming4 tin1
明惠,ming4 wai6
明明,ming4 ming4
明星,ming4 sing1
明显,ming4 hin2
明智,ming4 zi3
明朗,ming4 long5
明白,ming4 baak6
明知,ming4 zi1
明顯,ming4 hin2
易,ji6
易話為,ji6 waa6 wai4
易话为,ji6 waa6 wai4
星仔,sing1 zai2
星加坡,sing1 gaa3 bo1
星期,sing1 kei4
星期一,sing1 kei4 jat1
星期三,sing1 kei4 saam1
星期二,sing1 kei4 ji6
星期六,sing1 kei4 luk6
星期日,sing1 kei4 jat6
星球,sing1 kau4
星球人,sing1 kau4 jan4
星馳,sing1 ci4
星驰,sing1 ci4
春天,ceon1 tin1
春季,ceon1 gwai3
昨天,zok3 tin1
是,si6
是Q烂但,si6 kiu1 laan6 daan6
是Q爛但,si6 kiu1 laan6 daan6
是但,si6 daan6
显现,hin2 jin6
显示,hin2 si6
時代,si4 doi6
時侯,si4 hau6
時候,si4 hau6
時刻,si4 haak1
時勢,si4 sai3
時差,si4 caa1
時期,si4 kei4
時段,si4 dyun6
時空,si4 hung1
時裝,si4 zong1
時間,si4 gaan3
時限,si4 haan6
晉升,zeon3 sing1
晋升,zeon3 sing1
晌,hoeng2
晏昼,aan3 zau3
晏昼饭,ngaan3 zau3 faan6
晏晝,aan3 zau3
晏晝飯,ngaan3 zau3 faan6
晒,saai3
晒冷,saai3 laang1
晒太阳,saai3 taai3 joeng4
晓峰,hiu2 fung1
晕,wan4
晚,maan5
晚晚,maan5 maan5
晨,san4
晨早,san4 zou2
普普通通,pou2 pou2 tung1 tung1
普罗大众,pou2 lo4 daai6 zung3
普羅大眾,pou2 lo4 daai6 zung3
普通,pou2 tung1
普通人,pou2 tung1 jan4
普通話,pou2 tung1 waa2
普通话,pou2 tung1 waa2
普遍,pou2 pin3
景,ging2
景色,ging2 sik1
智建,zi3 gin6
智慧,zi3 wai3
晾,long3
暂停,zaam6 ting4
暂时,zaam6 si4
暈,wan4
暑假,syu2 gaa3
暑期工,syu2 kei4 gung1
暖,nyun5
暗,am3
暗中,ngam3 zung1
暗疮,am3 cong1
暗瘡,am3 cong1
暗角,ngam3 gok3
暢,coeng3
暫停,zaam6 ting4
暫時,zaam6 si4
曉峯,hiu2 fung1
曉峰,hiu2 fung1
曙光,cyu5 gwong1
曬,saai3
曬冷,saai3 laang1
曬太陽,saai3 taai3 joeng4
曱甴,gaat6 zaat2
曲,kuk1
曲架,kuk1 gaa2
曲架狗,kuk1 gaa2 gau2
曳,jai5
更,gang3
更加,gang3 gaa1
書,syu1
書名,syu1 meng2
書城,syu1 sing4
書局,syu1 guk2
書展,syu1 zin2
書籍,syu1 zik6
書記,syu1 gei3
曹,cou4
曼,maan6
曼城之音,maan6 sing4 zi1 jam1
曼撤斯特,maan6 cit3 si1 dak6
曼联,maan6 lyun4
曼聯,maan6 lyun4
曾經,cang4 ging1
曾经,cang4 ging1
替上,tai3 soeng5
最,zeoi3
最初,zeoi3 co1
最后,zeoi3 hau6
最多,zeoi3 do1
最好,zeoi3 hou2
最尾,zeoi3 mei1
最弊,zeoi3 bai6
最後,zeoi3 hau6
最衰,zeoi3 seoi1
最近,zeoi3 gan6
會,wui5
會考,wui6 haau2
會考教室,wui6 haau2 gaau3 sat1
會計師,wui6 gai3 si1
會議,wui6 ji5
月,jyut6
月份,jyut6 fan6
月入,jyut6 jap6
月費,jyut6 fai3
月费,jyut6 fai3
有,jau5
有一排,jau5 jat1 paai4
有买趁手,jau5 maai5 can3 sau2
有事,jau5 si6
有人,jau5 jan4
有份,jau5 fan2
有全,jau5 cyun4
有关,jau5 gwaan1
有冇,jau5 mou5
有啲,jau5 di1
有型,jau5 jing4
有害,jau5 hoi6
有得,jau5 dak1
有排,jau5 paai4
有料,jau5 liu2
有时,jau5 si4
有時,jau5 si4
有机,jau5 gei1
有機,jau5 gei1
有用,jau5 jung6
有益,jau5 jik1
有礼貌,jau5 lai5 maau6
有禮貌,jau5 lai5 maau6
有講有笑,jau5 gong2 jau5 siu3
有讲有笑,jau5 gong2 jau5 siu3
有買趁手,jau5 maai5 can3 sau2
有賴,jau5 laai6
有赖,jau5 laai6
有趣,jau5 ceoi3
有錢,jau5 cin2
有錢佬,jau5 cin2 lou2
有钱,jau5 cin2
有钱佬,jau5 cin2 lou2
有關,jau5 gwaan1
有阵时,jau5 zan6 si4
有陣時,jau5 zan6 si4
有領,jau5 leng5
有领,jau5 leng5
朋友,pang4 jau5
朋狗友,pang4 gau2 jau5
服,fuk6
服务,fuk6 mou6
服务性,fuk6 mou6 sing3
服務,fuk6 mou6
服務性,fuk6 mou6 sing3
朕,zam6
朗拿度,long5 naa4 dou6
望,mong6
朝,ziu1
朝九晚五,ziu1 gau2 maan5 ng5
朝头早,ziu1 tau4 zou2
朝早,ziu1 zou2
朝朝,ziu1 ziu1
朝頭早,ziu1 tau4 zou2
期,kei4
期待,kei4 doi6
期望,kei4 mong6
期間,kei4 gaan1
期间,kei4 gaan1
朦,mung4
木,muk6
木嘴,muk1 zeoi2
木片,muk6 pin2
木糠,muk6 hong1
未,mei6
未來,mei6 loi4
未婚夫,mei6 fan1 fu1
未必,mei6 bit1
未曾,mei6 cang4
未来,mei6 loi4
本,bun2
本來,bun2 loi4
本地,bun2 dei6
本本,bun2 bun2
本来,bun2 loi4
本行,bun2 hong4
本身,bun2 san1
本金,bun2 gam1
术语,seot6 jyu5
朱,zyu1
朵,do2
机,gei1
机仓,gei1 cong1
机会,gei1 wui6
机会率,gei1 wui6 leot2
机动,gei1 dung6
机场,gei1 coeng4
机构,gei1 kau3
机王,gei1 wong4
机电工程处,gei1 din6 gung1 cing4 cyu3
机票,gei1 piu3
机长,gei1 zoeng2
杀,saat3
杀一警百,saat3 jat1 ging2 baak3
杀手,saat3 sau2
杀气,saat3 hei3
杀着,saat3 zoek6
杀鸡取卵,saat3 gai1 ceoi2 leon2
杂,zaap6
杂志,zaap6 zi3
杂志社,zaap6 zi3 se5
杂锦,zaap6 gam2
权,kyun4
杆,gon1
杉,caam3
李,lei5
李安納度,lei5 on1 naap6 dou6
李安纳度,lei5 on1 naap6 dou6
李生,lei5 saang1
杏,hang2
杏色,hang6 sik1
材,coi4
村,cyun1
条,tiu4
条件,tiu4 gin2
条条,tiu2 tiu4
条条大路通罗马,tiu4 tiu4 daai6 lou6 tung1 lo4 maa5
来,lai4
来临,loi4 lam4
来到,lai4 dou3
来回,loi4 wui4
来源,loi4 jyun4
来电,loi4 din6
来自,lai4 zi6
来𡁵,lai4 gan2
来𡁵头,lai4 gan2 tau4
杯,bui1
杯轕,bui1 got3
杰,git6
杰出,git6 ceot1
東主,dung1 zyu2
東亞銀行,dung1 aa3 ngan4 hong4
東京,dung1 ging1
東方188,dung1 fong1 jat1 baat3 baat3
東莞,dung1 gun2
松,sung1
松啲,sung1 di1
板,baan2
极,gik6
极之,gik6 zi1
极其量,gik6 kei4 loeng6
极度,gik6 dou6
极端,gik6 dyun1
构思,gau3 si1
构成,kau3 sing4
枉費,wong2 fai3
枉费,wong2 fai3
枕头袋,zam2 tau4 doi2
枕頭袋,zam2 tau4 doi2
林,lam4
林林沈沈,lam4 lam4 cam4 cam4
果济,gwo4 zai3
果濟,gwo4 zai3
果然,gwo2 jin4
果齊,gwo2 cai4
果齐,gwo2 cai4
枪,coeng1
架,gaa3
架子,gaa3 zi2
架构,gaa3 kau3
架構,gaa3 kau3
柄,beng3
柏林,paak3 lam4
某,mau5
某啲,mau5 di1
某程度,mau5 cing4 dou6
某程度上,mau5 cing4 dou6 soeng6
柜,gwai6
柜桶,gwai6 tung2
柠啡,ling2 fe1
柠檬,ling4 mung1
柠檬茶,ling4 mung1 caa4
柠茶,ling2 caa4
查,caa4
查实,caa4 sat6
查實,caa4 sat6
查案,caa4 on3
查索,caa4 sok3
查經,caa4 ging1
查经,caa4 ging1
查詢,caa4 seon1
查询,caa4 seon1
柱,zyu5
柴,caai4
柴台,caai4 toi4
柴娃娃,caai4 waa1 waa1
柴臺,caai4 toi4
标,biu1
标准,biu1 zeon2
标本,biu1 bun2
标点符号,biu1 dim2 fu4 hou2
栋,dung6
树林,syu6 lam4
树枝,syu6 zi1
栗,leot6
校,haau6
校医,haau6 ji1
校园,haau6 jyun4
校園,haau6 jyun4
校服,haau6 fuk6
校車,haau6 ce1
校车,haau6 ce1
校醫,haau6 ji1
校長,haau6 zoeng2
校长,haau6 zoeng2
样,joeng2
样样,joeng6 joeng6
核,wat6
核突,wat6 dat6
根,gan1
根基,gan1 gei1
根底,gan1 dai2
根据,gan1 geoi3
根據,gan1 geoi3
根本,gan1 bun2
根本上,gan1 bun2 soeng6
格,gaak3
格仔,gaak3 zai2
格格不入,gaak3 gaak3 bat1 jap6
桀桀,kit1 kit1
桂味,gwai3 mei6
桂林,gwai3 lam4
框,kwaang1
案,on3
案件,on3 gin2
案例,on3 lai6
案发,on3 faat3
案發,on3 faat3
桑,song1
档,dong3
档期,dong3 kei4
档案,dong2 on3
桥,kiu2
梁,loeng4
梅窝,mui4 wo1
梅窩,mui4 wo1
梗,gang2
梗係,gang2 hai6
梗系,gang2 hai6
條,tiu4
條件,tiu4 gin2
條條,tiu2 tiu4
條條大路通羅馬,tiu4 tiu4 daai6 lou6 tung1 lo4 maa5
梦想,mung6 soeng2
梨,lei2
械,haai6
梳打,so1 daa2
梳打粉,so1 daa2 fan2
梵尔赛宫,faan4 ji5 coi3 gung1
梵爾賽宮,faan4 ji5 coi3 gung1
检,gim2
检查,gim2 caa4
检疫,gim2 jik6
检讨,gim2 tou2
检验,gim2 jim6
棄舖潛逃,hei3 pou3 cim4 tou4
棍,gwan3
棒,paang5
棟,dung6
棱,lang3
棵,po1
椰菜,je4 coi3
楚紅,co2 hung4
楚红,co2 hung4
業,jip6
業主,jip6 zyu2
業內,jip6 noi6
業務,jip6 mou6
業餘,jip6 jyu4
極,gik6
極之,gik6 zi1
極其量,gik6 kei4 loeng6
極度,gik6 dou6
極端,gik6 dyun1
楼,lau2
楼下,lau4 haa6
楼价,lau4 gaa3
楼市,lau4 si5
榜,bong2
榮,wing4
榴,lau4
構思,gau3 si1
構成,kau3 sing4
槍,coeng1
樂壇,ok6 taan4
樂意,lok6 ji3
樂趣,lok6 ceoi3
樂迷,ngok6 mai4
樂隊,ngok6 deoi2
樓,lau2
樓下,lau4 haa6
樓價,lau4 gaa3
樓市,lau4 si5
樖,po1
標,biu1
標本,biu1 bun2
標準,biu1 zeon2
標點符號,biu1 dim2 fu4 hou2
模型,mou4 jing4
樣,joeng2
樣樣,joeng6 joeng6
横,waang4
横掂,waang4 dim6
横额,waang4 ngaak2
樱花,jing1 faa1
樹林,syu6 lam4
樹枝,syu6 zi1
樽,zeon1
橋,kiu2
橛,gyut6
機,gei1
機倉,gei1 cong1
機動,gei1 dung6
機場,gei1 coeng4
機會,gei1 wui6
機會率,gei1 wui6 leot2
機構,gei1 kau3
機王,gei1 wong4
機票,gei1 piu3
機長,gei1 zoeng2
機電工程處,gei1 din6 gung1 cing4 cyu3
橫,waang4
橫掂,waang4 dim6
橫額,waang4 ngaak2
檀岛,taan4 dou2
檀島,taan4 dou2
檔,dong3
檔期,dong3 kei4
檔案,dong2 on3
檢,gim2
檢查,gim2 caa4
檢疫,gim2 jik6
檢討,gim2 tou2
檢驗,gim2 jim6
檯,toi2
檯波,toi2 bo1
檸啡,ling2 fe1
檸檬,ling4 mung1
檸檬茶,ling4 mung1 caa4
檸茶,ling2 caa4
櫃,gwai6
櫃桶,gwai6 tung2
櫈,dang3
櫈仔,dang3 zai2
櫻花,jing1 faa1
權,kyun4
欠,him3
次,ci3
次次,ci3 ci3
次等,ci3 dang2
欢乐今宵,fun1 lok6 gam1 siu1
欢迎,fun1 jing4
欣賞,jan1 soeng2
欣赏,jan1 soeng2
欧洲,au1 zau1
欧洲人,au1 zau1 jan4
欺,hei1
欽,jam1
款,fun2
歌,go1
歌剧院,go1 kek6 jyun2
歌劇院,go1 kek6 jyun2
歌唱,go1 coeng3
歌手,go1 sau2
歌星,go1 sing1
歌詞,go1 ci4
歌词,go1 ci4
歎,taan3
歐洲,au1 zau1
歐洲人,au1 zau1 jan4
歡樂今宵,fun1 lok6 gam1 siu1
歡迎,fun1 jing4
止,zi2
正,zeng3
正一,zing3 jat1
正如,zing3 jyu4
正常,zing3 soeng4
正常人,zing3 soeng4 jan4
正式,zing3 sik1
正当,zing3 dong3
正所謂,zing3 so2 wai6
正所谓,zing3 so2 wai6
正正式式,zing3 zing3 sik1 sik1
正版,zing3 baan2
正牌,zing3 paai4
正當,zing3 dong3
正确,zing3 kok3
正確,zing3 kok3
正話,zing3 waa6
正话,zing3 waa6
正貨,zing3 fo3
正货,zing3 fo3
正面,zing3 min6
步,bou6
步步为营,bou6 bou6 wai4 jing4
步步為營,bou6 bou6 wai4 jing4
武侠,mou5 hap6
武俠,mou5 hap6
武功,mou5 gung1
歧視,kei4 si6
歧视,kei4 si6
歲,seoi3
歲數,seoi3 sou3
歷,lik6
歷史,lik6 si2
歸還,gwai1 waan4
死,sei2
死人,sei2 jan4
死仔,sei2 zai2
死尸,sei2 si1
死屍,sei2 si1
死梗,sei2 gang2
死死气,sei2 sei2 hei3
死死氣,sei2 sei2 hei3
死火,sei2 fo2
死約,sei2 joek3
死约,sei2 joek3
死𦧲难𦧲,sei2 loe2 laan6 loe2
死𦧲難𦧲,sei2 loe2 laan6 loe2
残,caan4
残忍,caan4 jan2
殖民地,zik6 man4 dei6
殘,caan4
殘忍,caan4 jan2
段,dyun6
殺,saat3
殺一警百,saat3 jat1 ging2 baak3
殺手,saat3 sau2
殺氣,saat3 hei3
殺着,saat3 zoek6
殺雞取卵,saat3 gai1 ceoi2 leon2
殿,din6
毀滅,wai2 mit6
毁灭,wai2 mit6
毅人,ngai6 jan4
母女,mou5 neoi2
母机,mou5 gei1
母機,mou5 gei1
每,mui5
每一次,mui5 jat1 ci3
每个,mui5 go3
每人,mui5 jan4
每個,mui5 go3
每年,mui5 nin4
每日,mui5 jat6
每样,mui5 joeng6
每樣,mui5 joeng6
每次,mui5 ci3
毓民,juk1 man4
比,bei2
比例,bei2 lai6
比利时,bei2 lei6 si4
比利時,bei2 lei6 si4
比萨斜塔,bei2 saat3 ce4 taap3
比薩斜塔,bei2 saat3 ce4 taap3
比賽,bei2 coi3
比赛,bei2 coi3
比起,bei2 hei2
比較,bei2 gaau3
比較上,bei2 gaau3 soeng6
比较,bei2 gaau3
比较上,bei2 gaau3 soeng6
比重,bei2 cung5
毕,bat1
毕业,bat1 jip6
毙,bai6
毛,mou4
毛巾,mou4 gan1
毡,zin1
毫,hou4
毫子,hou4 zi2
氈,zin1
氏,si6
民情,man4 cing4
民意,man4 ji3
民意調查,man4 ji3 diu6 caa4
民意调查,man4 ji3 diu6 caa4
民族,man4 zuk6
气,hei3
气候,hei3 hau6
气功,hei3 gung1
气息,hei3 sik1
气氛,hei3 fan1
气管,hei3 gun2
氣,hei3
氣候,hei3 hau6
氣功,hei3 gung1
氣息,hei3 sik1
氣氛,hei3 fan1
氣管,hei3 gun2
氧气,joeng5 hei3
氧氣,joeng5 hei3
水,seoi2
水准,seoi2 zeon2
水平,seoi2 ping4
水底,seoi2 dai2
水手狗,seoi2 sau2 gau2
水準,seoi2 zeon2
水草,seoi2 cou2
水質,seoi2 zat1
水质,seoi2 zat1
永堂,wing5 tong4
永姍,wing6 saan1
永姗,wing6 saan1
永泉,wing5 cyun4
永远,wing5 jyun5
永遠,wing5 jyun5
汁,zap1
求,kau4
求其,kau4 kei4
求职,kau4 zik1
求職,kau4 zik1
汇丰,wui6 fung1
汉,hon3
汉堡包,hon3 bou2 baau1
汉文,hon3 man4
汉英,hon3 jing1
汉语,hon3 jyu5
汕头,saan3 tau4
汕尾,saan3 mei5
汕頭,saan3 tau4
江,gong1
江山,gong1 saan1
池,ci4
污糟,wu1 zou1
污糟邋遢,wu1 zou1 laat6 taat3
汹涌,hung1 jung2
決定,kyut3 ding6
決心,kyut3 sam1
決策人,kyut3 caak3 jan4
決裂,kyut3 lit6
決賽,kyut3 coi3
決賽週,kyut3 coi3 zau1
汽水,hei3 seoi2
沈,sam2
沈生,sam2 saang1
沈迷,cam4 mai4
沉,cam4
沐,muk6
沒,mut6
沖,cung1
沖擊,cung1 gik1
沖涼,cung1 loeng4
沙,saa1
沙官,saa1 gun1
沙律,saa1 leot2
沙滩,saa1 taan1
沙灘,saa1 taan1
沙田,saa1 tin4
沙田中心,saa1 tin4 zung1 sam1
沙田广场,saa1 tin4 gwong2 coeng4
沙田廣場,saa1 tin4 gwong2 coeng4
沛权,pui3 kyun4
沛權,pui3 kyun4
沟,kau1
沟通,kau1 tung1
没,mut6
沤,au3
沦,leon4
沧,cong1
河,ho4
河床,ho4 cong4
河牀,ho4 cong4
沸,fai3
沸点,fai3 dim2
沸點,fai3 dim2
油,jau2
治安,zi6 on1
沿海,jyun4 hoi2
沿途,jyun4 tou4
泄,sit3
泄露,sit3 lou6
泊,paak3
泊車,paak3 ce1
泊车,paak3 ce1
法,faat3
法兰西丝,faat3 laan4 sai1 si1
法国,faat3 gwok3
法國,faat3 gwok3
法官,faat3 gun1
法庭,faat3 ting4
法律,faat3 leot6
法蘭西絲,faat3 laan4 sai1 si1
泛,faan6
泡菜,paau3 coi3
波,bo1
波浪拳,bo1 long6 kyun4
波衫,bo1 saam1
注册,zyu3 caak3
注意力,zyu3 ji3 lik6
注重,zyu3 zung6
泪眼盈眶,leoi6 ngaan5 jing4 kwaang1
泰国,taai3 gwok3
泰國,taai3 gwok3
泰式,taai3 sik1
泰臣,taai3 san4
泳裤,wing6 fu3
泳褲,wing6 fu3
泻,se3
泼,put6
泽民,zaak6 man4
洁仪,git3 ji4
洁怡,git3 ji4
洁白,git3 baak6
洋人,joeng4 jan4
洋服,joeng4 fuk6
洗,sai2
洗头,sai2 tau4
洗手間,sai2 sau2 gaan1
洗手间,sai2 sau2 gaan1
洗清,sai2 cing1
洗牙,sai2 ngaa4
洗錢,sai2 cin2
洗钱,sai2 cin2
洗頭,sai2 tau4
洞,dung6
洪,hung4
洶湧,hung1 jung2
活力先生,wut6 lik6 sin1 saang1
活动,wut6 dung6
活動,wut6 dung6
派,paai3
流,lau4
流利,lau4 lei6
流动,lau4 dung6
流動,lau4 dung6
流口水,lau4 hau2 seoi2
流流,lau4 lau4
流行,lau4 hang4
流行榜,lau4 hang4 bong2
流通,lau4 tung1
浅,cin2
浅色,cin2 sik1
浅草,cin2 cou2
测,caak1
测试,caak1 si3
测验,caak1 jim6
浑,wan4
浓,nung4
浓缩,nung4 suk1
浩瀚无边,hou6 hon6 mou4 bin1
浩瀚無邊,hou6 hon6 mou4 bin1
浩賢,hou6 jin4
浩贤,hou6 jin4
浪漫,long6 maan6
浪費,long6 fai3
浪费,long6 fai3
浮,fau4
浴,juk6
海,hoi2
海丰,hoi2 fung1
海关,hoi2 gwaan1
海南,hoi2 naam4
海外,hoi2 ngoi6
海媚,hoi2 mei4
海底,hoi2 dai2
海洋公园,hoi2 joeng4 gung1 jyun2
海洋公園,hoi2 joeng4 gung1 jyun2
海滩,hoi2 taan1
海灘,hoi2 taan1
海豐,hoi2 fung1
海豚,hoi2 tyun4
海關,hoi2 gwaan1
浸,zam3
消失,siu1 sat1
消息,siu1 sik1
消耗,siu1 hou3
消費,siu1 fai3
消费,siu1 fai3
润,jeon6
涯,ngaai4
涼,loeng4
淑怡,suk6 ji4
淒涼,cai1 loeng4
淒清,cai1 cing1
淘古井,tou4 gu2 zeng2
淚眼盈眶,leoi6 ngaan5 jing4 kwaang1
淡,taam5
淡季,daam6 gwai3
淡市,daam6 si5
淡淡,daam6 daam6
淡風,daam6 fung1
淡风,daam6 fung1
淨,zing6
淨係,zing6 hai6
淨得,zing6 dak1
淪,leon4
淫賤,jam4 zin6
淫贱,jam4 zin6
深,sam1
深入,sam1 jap6
深刻,sam1 haak1
深圳,sam1 zan3
深度,sam1 dou6
深水埗,sam1 seoi2 bou2
深色,sam1 sik1
混为一谈,wan6 wai4 jat1 taam4
混為一談,wan6 wai4 jat1 taam4
淺,cin2
淺色,cin2 sik1
淺草,cin2 cou2
添,tim1
清,cing1
清凉,cing1 loeng4
清场,cing1 coeng4
清場,cing1 coeng4
清晰,cing1 sik1
清楚,cing1 co2
清洁,cing1 git3
清洗,cing1 sai2
清涼,cing1 loeng4
清潔,cing1 git3
清甜,cing1 tim4
清貧,cing1 pan4
清贫,cing1 pan4
清静,cing1 zing6
清靜,cing1 zing6
渔村,jyu4 cyun1
渗,sam3
減,gaam2
減價,gaam2 gaa3
減少,gaam2 siu2
減稅,gaam2 seoi3
渠道,keoi4 dou6
渡过,dou6 gwo3
渡過,dou6 gwo3
渣,zaa2
温,wan1
温习,wan1 zaap6
温书,wan1 syu1
温度,wan1 dou6
温暖,wan1 nyun5
温柔,wan1 jau4
温泉,wan1 cyun4
測,caak1
測試,caak1 si3
測驗,caak1 jim6
港,gong2
港产式,gong2 caan2 sik1
港产片,gong2 caan2 pin2
港口,gong2 hau2
港大,gong2 daai6
港姐,gong2 ze2
港币,gong2 bai6
港幣,gong2 bai6
港產式,gong2 caan2 sik1
港產片,gong2 caan2 pin2
港紙,gong2 zi2
港纸,gong2 zi2
渲染,hyun1 jim5
游,jau4
游來游去,jau4 loi4 jau4 heoi3
游客,jau4 haak3
游戏,jau4 hei3
游戏机,jau4 hei3 gei1
游来游去,jau4 loi4 jau4 heoi3
游水,jau4 seoi2
游荡,jau4 dong6
游街,jau4 gaai1
游览,jau4 laam5
渺茫,miu5 mong4
渾,wan4
湊,cau3
湖,wu4
湾仔,waan1 zai2
湾仔区,waan1 zai2 keoi1
湿湿碎碎,sap1 sap1 seoi3 seoi3
準,zeon2
準備,zeon2 bei6
準時,zeon2 si4
準繩度,zeon2 sing4 dou6
溜后,lau4 hau6
溜後,lau4 hau6
溝,kau1
溝通,kau1 tung1
溢,jat6
溫,wan1
溫度,wan1 dou6
溫暖,wan1 nyun5
溫書,wan1 syu1
溫柔,wan1 jau4
溫泉,wan1 cyun4
溫習,wan1 zaap6
溶,jung4
滄,cong1
滅罪,mit6 zeoi6
滑落,waat6 lok6
滑雪,waat6 syut3
滚,gwan2
滞留,zai6 lau4
满,mun5
满意,mun5 ji3
满足,mun5 zuk1
满足感,mun5 zuk1 gam2
滥,laam5
滯留,zai6 lau4
滲,sam3
滴,dik6
滾,gwan2
滿,mun5
滿意,mun5 ji3
滿足,mun5 zuk1
滿足感,mun5 zuk1 gam2
漁村,jyu4 cyun1
漂,piu1
漏,lau6
漓江,lei4 gong1
演,jin2
演出,jin2 ceot1
演员,jin2 jyun4
演員,jin2 jyun4
演唱会,jin2 coeng3 wui2
演唱會,jin2 coeng3 wui2
演繹,jin2 jik6
演绎,jin2 jik6
漚,au3
漢,hon3
漢堡包,hon3 bou2 baau1
漢文,hon3 man4
漢英,hon3 jing1
漢語,hon3 jyu5
漫游,maan6 jau4
漫画,maan6 waa2
漫畫,maan6 waa2
漫遊,maan6 jau4
潑,put6
潔儀,git3 ji4
潔怡,git3 ji4
潔白,git3 baak6
潛伏,cim4 fuk6
潛能,cim4 nang4
潜伏,cim4 fuk6
潜能,cim4 nang4
潤,jeon6
潮,ciu4
潺潺,saan4 saan4
澄清,cing4 cing1
澡,zou2
澤民,zaak6 man4
澳洲,ou3 zau1
澳門,ou3 mun2
澳门,ou3 mun2
激,gik1
激动,gik1 dung6
激動,gik1 dung6
激嬲,gik1 nau1
濃,nung4
濃縮,nung4 suk1
濕濕碎碎,sap1 sap1 seoi3 seoi3
濫,laam5
瀉,se3
瀑布,buk6 bou3
灌,gun3
灕江,lei4 gong1
灣仔,waan1 zai2
灣仔區,waan1 zai2 keoi1
火,fo2
火人,fo2 jan4
火山,fo2 saan1
火星,fo2 sing1
火星人,fo2 sing1 jan4
火炭,fo2 taan3
火車,fo2 ce1
火車站,fo2 ce1 zaam6
火车,fo2 ce1
火车站,fo2 ce1 zaam6
灭罪,mit6 zeoi6
灯,dang1
灰,fui1
灰水,fui1 seoi2
灵,ling4
灵媒,ling4 mui4
灵感,ling4 gam2
灵活,ling4 wut6
灵界,ling4 gaai3
灵魂,ling4 wan4
灿森,caan3 sam1
炉,lou4
炉头,lou4 tau4
炒,caau2
炒卖,caau2 maai6
炒股票,caau2 gu2 piu3
炒菜,caau2 coi3
炒賣,caau2 maai6
炖蛋,dan6 daan2
炷,zyu3
炸,zaa3
炸弹,zaa3 daan2
炸弹案,zaa3 daan2 on3
炸彈,zaa3 daan2
炸彈案,zaa3 daan2 on3
点,dim2
点不知,dim2 bat1 zi1
点儿,dim2 ji4
点几,dim2 gei2
点只,dim2 zi2
点心,dim2 sam1
点样,dim2 joeng2
点样样,dim2 joeng2 joeng2
点止,dim2 zi2
点点滴滴,dim2 dim2 dik6 dik6
点知,dim2 zi1
点算,dim2 syun3
点解,dim2 gaai2
為,wai6
為之,wai4 zi1
為例,wai4 lai6
為咗,wai6 zo2
為所欲為,wai4 so2 juk6 wai4
為止,wai4 zi2
